"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","301","Update course","LMS service","Tue Aug 05 16:00:51 GMT 2025","passed","Tue Aug 05 16:00:51 GMT 2025","Update entity","Courses","",""
"","282","Login with correct email and password","LMS service","Tue Aug 05 16:00:49 GMT 2025","passed","Tue Aug 05 16:00:49 GMT 2025","Login","Authentication","",""
"","304","Create course","LMS service","Tue Aug 05 16:00:50 GMT 2025","passed","Tue Aug 05 16:00:50 GMT 2025","Create entity","Courses","",""
"","14","Get file","LMS service","Tue Aug 05 16:00:55 GMT 2025","passed","Tue Aug 05 16:00:55 GMT 2025","Get entity","Files","",""
"","562","Create user","LMS service","Tue Aug 05 16:00:57 GMT 2025","passed","Tue Aug 05 16:00:58 GMT 2025","Create entity","Users","",""
"","292","Create exercise","LMS service","Tue Aug 05 16:00:51 GMT 2025","passed","Tue Aug 05 16:00:51 GMT 2025","Create entity","Exercises","",""
"","39","Create file with empty filename","LMS service","Tue Aug 05 16:00:56 GMT 2025","passed","Tue Aug 05 16:00:56 GMT 2025","Validate entity","Files","",""
"","269","Create file with empty directory","LMS service","Tue Aug 05 16:00:57 GMT 2025","passed","Tue Aug 05 16:00:57 GMT 2025","Validate entity","Files","",""
"","23","Update exercise","LMS service","Tue Aug 05 16:00:52 GMT 2025","passed","Tue Aug 05 16:00:52 GMT 2025","Update entity","Exercises","",""
"","558","Create user","LMS service","Tue Aug 05 16:00:58 GMT 2025","passed","Tue Aug 05 16:00:58 GMT 2025","Create entity","Users","",""
"","14","Get file with incorrect file id","LMS service","Tue Aug 05 16:00:57 GMT 2025","passed","Tue Aug 05 16:00:57 GMT 2025","Validate entity","Files","",""
"","271","Create file","LMS service","Tue Aug 05 16:00:55 GMT 2025","passed","Tue Aug 05 16:00:55 GMT 2025","Create entity","Files","",""
"","13","Get user me","LMS service","Tue Aug 05 16:00:59 GMT 2025","passed","Tue Aug 05 16:00:59 GMT 2025","Get entity","Users","",""
"","43","Get exercise","LMS service","Tue Aug 05 16:00:52 GMT 2025","passed","Tue Aug 05 16:00:52 GMT 2025","Get entity","Exercises","",""
"","18","Delete file","LMS service","Tue Aug 05 16:00:56 GMT 2025","passed","Tue Aug 05 16:00:56 GMT 2025","Delete entity","Files","",""
"","28","Delete exercise","LMS service","Tue Aug 05 16:00:54 GMT 2025","passed","Tue Aug 05 16:00:54 GMT 2025","Delete entity","Exercises","",""
"","295","Get courses","LMS service","Tue Aug 05 16:00:50 GMT 2025","passed","Tue Aug 05 16:00:50 GMT 2025","Get entities","Courses","",""
"","558","Create user","LMS service","Tue Aug 05 16:00:57 GMT 2025","passed","Tue Aug 05 16:00:58 GMT 2025","Create entity","Users","",""
"","13","Get exercises","LMS service","Tue Aug 05 16:00:54 GMT 2025","passed","Tue Aug 05 16:00:54 GMT 2025","Get entities","Exercises","",""
